# angle, angle_rate, angle_acce, power
-3.174304962158203125e-03,-6.348610440909396857e-06,1.774259358644485474e-01,-7.054715156555175781e-01
-4.074096679687500000e-03,-6.380717968568205833e-05,4.598686993122100830e-01,-2.060196399688720703e-01
1.701211929321289062e-02,1.027691687340848148e-04,8.339144587516784668e-01,1.138720750808715820e+00
2.774000167846679688e-02,3.750307369045913219e-04,1.192693114280700684e+00,1.452350020408630371e+00
4.552936553955078125e-02,8.115728851407766342e-04,1.429334282875061035e+00,2.406044960021972656e+00
5.776453018188476562e-02,1.348639605566859245e-03,1.543838143348693848e+00,2.898118495941162109e+00
7.198953628540039062e-02,2.001103013753890991e-03,1.627807617187500000e+00,3.624576568603515625e+00
8.851575851440429688e-02,2.786205383017659187e-03,1.498036623001098633e+00,4.470999717712402344e+00
1.095390319824218750e-01,3.742285305634140968e-03,1.513303756713867188e+00,5.571776390075683594e+00
1.334853172302246094e-01,4.890024196356534958e-03,1.788112998008728027e+00,6.791832447052001953e+00
1.548595428466796875e-01,6.194117944687604904e-03,1.734677791595458984e+00,7.815021991729736328e+00
1.688017845153808594e-01,7.572430185973644257e-03,1.612540483474731445e+00,8.430438995361328125e+00
1.949653625488281250e-01,9.143462404608726501e-03,1.795746564865112305e+00,9.956326484680175781e+00
2.271218299865722656e-01,1.095750648528337479e-02,2.131624460220336914e+00,1.165831947326660156e+01
2.463769912719726562e-01,1.287340093404054642e-02,1.452235102653503418e+00,1.246211433410644531e+01
2.624387741088867188e-01,1.485411822795867920e-02,6.659755706787109375e-01,1.330564022064208984e+01
2.740321159362792969e-01,1.685173436999320984e-02,2.308610528707504272e-01,1.393086338043212891e+01
2.878589630126953125e-01,1.888773590326309204e-02,-3.492916226387023926e-01,1.477861499786376953e+01
2.873535156250000000e-01,2.081688307225704193e-02,-6.470015645027160645e-01,1.468657016754150391e+01
2.812728881835937500e-01,2.258876711130142212e-02,-7.920396924018859863e-01,1.449056625366210938e+01
2.753138542175292969e-01,2.421246655285358429e-02,-7.996733188629150391e-01,1.438777828216552734e+01
2.660512924194335938e-01,2.566235698759555817e-02,-4.714290201663970947e-01,1.406092929840087891e+01
2.661018371582031250e-01,2.704025618731975555e-02,-3.950931429862976074e-01,1.436425971984863281e+01
2.689328193664550781e-01,2.837757207453250885e-02,-3.631452098488807678e-02,1.466900062561035156e+01
2.686958312988281250e-01,2.964565157890319824e-02,4.598686993122100830e-01,1.472673511505126953e+01
2.831931114196777344e-01,3.099530003964900970e-02,8.415480852127075195e-01,1.576172924041748047e+01
2.967853546142578125e-01,3.241338580846786499e-02,7.346778512001037598e-01,1.648273849487304688e+01
3.076305389404296875e-01,3.386902436614036560e-02,6.354411840438842773e-01,1.705318641662597656e+01
