
-228,272,-17252,-162,241,141
-288,324,-17344,-164,239,105
-204,304,-17304,-188,240,123
-304,256,-17208,-137,189,117
-344,240,-17264,-169,210,116
-300,232,-17232,-143,180,97
-280,124,-17188,-160,234,97
-336,220,-17256,-184,242,120
-404,236,-17116,-158,238,140
-356,64,-17308,-169,240,106
-320,236,-17276,-177,279,114
-256,160,-17164,-179,262,150
-404,316,-17172,-203,245,99
-360,272,-17284,-151,247,109
-312,108,-17232,-159,220,114
-288,316,-17336,-166,233,118
-408,204,-17272,-150,202,138
-324,172,-17296,-144,205,93
-388,172,-17520,-193,269,103
-340,276,-17388,-154,280,124
-352,232,-17136,-178,295,132
-444,272,-17196,-162,268,100
-340,164,-17432,-183,285,84
-256,256,-17300,-181,289,127
-268,244,-17124,-157,238,111
-324,296,-17296,-147,229,89
-356,224,-17376,-177,215,108
-296,124,-17284,-172,228,112
-272,240,-17148,-181,223,106
-368,256,-17156,-169,245,104
-276,268,-17272,-173,245,92
-316,180,-17452,-187,270,105
-332,312,-17352,-167,280,111
-316,324,-17100,-178,285,138
-188,280,-17308,-179,286,120
-252,332,-17308,-177,286,143
-308,240,-17352,-165,233,126
-288,316,-17116,-166,245,109
-280,192,-17432,-187,234,121
-332,284,-17416,-161,242,102
-252,188,-17212,-152,226,111
-308,256,-17184,-159,219,126
-292,200,-17276,-159,267,105
-340,232,-17336,-183,255,118
-372,236,-17280,-214,246,155
-256,220,-17060,-182,278,114
-408,156,-17224,-155,224,129
-228,256,-17436,-164,228,115
-320,244,-17080,-171,244,139
-296,156,-17192,-166,213,113
-328,204,-17308,-166,237,91
-328,224,-17388,-185,254,111
-360,296,-17108,-166,234,140
-276,248,-17052,-187,285,140
-356,204,-17296,-183,271,112
-316,168,-17384,-169,271,131
-308,272,-17304,-178,251,135
-236,276,-17356,-153,245,119
-296,216,-17408,-163,238,126
-232,212,-17244,-168,204,131
-348,204,-17200,-170,212,117
-328,296,-17160,-186,208,100
-312,192,-17232,-154,230,131
-316,276,-17184,-189,234,111
-408,224,-17300,-202,258,109
-320,320,-17104,-176,302,111
-360,232,-17308,-163,301,105
-308,260,-17504,-205,254,127
-224,220,-17152,-196,300,124
-404,280,-17220,-143,232,139
-360,232,-17208,-158,226,104
-320,228,-17224,-161,213,119
-296,200,-17260,-172,245,138
-340,264,-17280,-134,205,108
-260,156,-17400,-186,255,85
-296,292,-17388,-148,240,135
-276,312,-17232,-167,267,106
-264,212,-17208,-179,240,129
-312,296,-17268,-190,263,120
-360,164,-17328,-178,260,145
-272,232,-17272,-175,230,99
-268,280,-17180,-179,192,130
-408,188,-17264,-161,183,116
-212,292,-17308,-186,218,95
-380,296,-17184,-172,227,132
-340,248,-17212,-139,249,115
-408,244,-17292,-181,266,100
-236,88,-17200,-156,232,133
-332,208,-17100,-178,279,106
-292,288,-17192,-185,260,128
-256,132,-17348,-167,272,81
-296,244,-17288,-183,244,142
-332,260,-17212,-168,242,113
-256,284,-17216,-150,209,137
-352,276,-17336,-159,235,100
-236,212,-17460,-172,254,86
-256,248,-17208,-167,239,139
-356,272,-17220,-170,225,115
-296,224,-17212,-163,260,104
-244,208,-17364,-139,276,126
-240,324,-17276,-184,240,105
-340,224,-17176,-147,248,114
-348,196,-17220,-171,260,118
-300,152,-17272,-179,191,115
-344,268,-17136,-148,214,129
-404,436,-17324,-136,226,99
-428,356,-17372,-140,208,119
-296,276,-17272,-148,246,122
-340,244,-17432,-167,271,132
-424,252,-17352,-174,246,83
-168,336,-17352,-155,295,112
-392,268,-17404,-144,263,121
-344,364,-17284,-138,221,110
-244,380,-17064,-176,201,95
-236,224,-17056,-132,213,95
-336,244,-17252,-118,217,114
-348,320,-17400,-135,263,119
-328,228,-16976,-162,213,129
-272,232,-17232,-219,271,95
-264,248,-17232,-185,269,112
-324,464,-16832,-173,223,124
-404,420,-17388,-150,209,113
-368,232,-17304,-132,232,104
-228,112,-16816,-160,230,119
-432,176,-17072,-163,211,110
-444,312,-17452,-157,214,111
-420,184,-17600,-139,323,134
-320,136,-17432,-168,345,126
-308,128,-17236,-160,322,121
-444,212,-17164,-167,312,132
-272,212,-17480,-165,243,132
-208,-20,-17356,-130,252,139
