# angle, angle_rate, angle_acce, power
-1.110029220581054688e-02,-2.220058559032622725e-05,-6.364558696746826172e+00,-2.466977596282958984e+00
-6.230020523071289062e-02,-7.284547900781035423e-04,-6.120284080505371094e+00,-3.737279653549194336e+00
-1.061782836914062500e-01,-1.753814984112977982e-03,-5.410360336303710938e+00,-5.640535354614257812e+00
-1.769452095031738281e-01,-3.435576101765036583e-03,-7.143184661865234375e+00,-9.407471656799316406e+00
-2.490878105163574219e-01,-5.754675250500440598e-03,-7.853108406066894531e+00,-1.283906078338623047e+01
-3.008818626403808594e-01,-8.475759997963905334e-03,-6.937077999114990234e+00,-1.502240276336669922e+01
-3.781590461730957031e-01,-1.183356251567602158e-02,-7.860742092132568359e+00,-1.921411895751953125e+01
-4.708538055419921875e-01,-1.595042273402214050e-02,-9.624100685119628906e+00,-2.397884941101074219e+01
-5.392651557922363281e-01,-2.054555155336856842e-02,-9.547764778137207031e+00,-2.700653457641601562e+01
-6.420788764953613281e-01,-2.593906037509441376e-02,-9.265321731567382812e+00,-3.268238067626953125e+01
-7.368292808532714844e-01,-3.201039880514144897e-02,-1.059356689453125000e+01,-3.730625152587890625e+01
-8.348236083984375000e-01,-3.875811398029327393e-02,-1.133402442932128906e+01,-4.234189224243164062e+01
-9.337744712829589844e-01,-4.615795612335205078e-02,-1.053249740600585938e+01,-4.744204330444335938e+01
-1.049000740051269531e+00,-5.434006452560424805e-02,-1.108974933624267578e+01,-5.361095046997070312e+01
-1.166229963302612305e+00,-6.328535825014114380e-02,-1.160120010375976562e+01,-5.968617630004882812e+01
-1.280280590057373047e+00,-7.292389869689941406e-02,-1.065463542938232422e+01,-6.559559631347656250e+01
-1.383833885192871094e+00,-8.311603963375091553e-02,-9.448528289794921875e+00,-7.096453094482421875e+01
-1.490559339523315430e+00,-9.386583417654037476e-02,-7.990512847900390625e+00,-7.677291870117187500e+01
-1.584468841552734375e+00,-1.050172299146652222e-01,-6.082116127014160156e+00,-8.176817321777343750e+01
-1.640691995620727539e+00,-1.161732822656631470e-01,-3.616467237472534180e+00,-8.465549468994140625e+01
-1.674358606338500977e+00,-1.271082013845443726e-01,-1.387459516525268555e+00,-8.679816436767578125e+01
-1.690948009490966797e+00,-1.376622766256332397e-01,1.545251756906509399e-01,-8.824906158447265625e+01
-1.683061122894287109e+00,-1.476097702980041504e-01,2.032387733459472656e+00,-8.842879486083984375e+01
-1.670835494995117188e+00,-1.569376289844512939e-01,2.818647384643554688e+00,-8.871841430664062500e+01
-1.640406131744384766e+00,-1.654948145151138306e-01,3.200326681137084961e+00,-8.788147735595703125e+01
-1.589898586273193359e+00,-1.731190681457519531e-01,4.940784931182861328e+00,-8.603476715087890625e+01
-1.514993667602539062e+00,-1.796130537986755371e-01,7.215593814849853516e+00,-8.292474365234375000e+01
-1.455040931701660156e+00,-1.851828098297119141e-01,6.436967849731445312e+00,-8.109060668945312500e+01
-1.378395080566406250e+00,-1.897076219320297241e-01,6.749945163726806641e+00,-7.785069274902343750e+01
-1.297418594360351562e+00,-1.931964308023452759e-01,7.696509838104248047e+00,-7.454101562500000000e+01
-1.240041971206665039e+00,-1.959370225667953491e-01,6.459868907928466797e+00,-7.270070648193359375e+01
-1.195052385330200195e+00,-1.980906873941421509e-01,4.284296035766601562e+00,-7.114836120605468750e+01
-1.142446756362915039e+00,-1.996106058359146118e-01,3.757578611373901367e+00,-6.883948516845703125e+01
-1.090251922607421875e+00,-2.005326002836227417e-01,3.749944925308227539e+00,-6.663468933105468750e+01
-1.055317878723144531e+00,-2.010591477155685425e-01,1.742311477661132812e+00,-6.545510864257812500e+01
-1.034360408782958984e+00,-2.013497948646545410e-01,-1.202839836478233337e-01,-6.481001281738281250e+01
