140,-88,16020,-29,26,-106,3
96,-40,16048,-12,-15,-94,3
188,-32,15944,-15,-2,-101,2
128,-36,15996,-2,-1,-83,3
72,-8,16200,-44,-19,-95,2
108,16,16020,-16,-23,-92,3
100,168,15996,13,-6,-92,3
96,116,16208,-2,-21,-107,2
140,212,16208,-18,-24,-103,3
104,128,16164,2,2,-85,2
84,36,16220,6,-30,-83,3
100,80,16100,-17,-24,-86,2
120,164,16428,-33,-3,-96,3
224,168,16112,-50,-14,-99,2
208,44,16332,-41,5,-94,3
280,224,16228,-15,9,-107,2
236,208,16256,-51,10,-108,3
324,168,16032,-54,22,-111,3
188,124,16052,-41,36,-113,2
256,112,16096,-38,29,-82,3
164,128,16008,-47,35,-106,3
280,24,16020,-28,28,-108,2
292,-16,15924,-37,37,-83,3
292,12,15940,-9,-4,-100,2
196,104,16064,-6,-29,-92,3
216,24,15964,-33,-29,-117,3
224,56,16060,-26,-44,-86,2
288,24,16044,-3,-56,-67,3
256,36,16136,-14,-34,-71,2
296,44,16144,-9,-19,-102,3
320,16,16176,-22,5,-96,2
324,24,16248,-37,16,-78,3
204,24,16176,-2,24,-95,2
308,8,16084,-28,67,-113,3
176,148,16080,-41,89,-118,2
284,-56,16024,-43,79,-109,3
200,0,16156,-15,62,-77,3
220,72,16144,-27,30,-123,2
140,60,16124,-40,25,-102,3
184,132,15944,-25,14,-119,2
148,-60,16040,-30,8,-89,3
228,28,15956,-16,17,-89,2
272,148,15996,-3,-1,-95,3
172,-4,16084,-30,3,-98,2
232,92,16080,-4,-8,-91,3
224,172,16024,-11,4,-103,2
232,108,16024,-33,-23,-72,3
200,120,16132,-12,-18,-84,3
244,164,16200,-24,-23,-122,3
276,140,16024,18,-24,-77,2
264,124,16152,-7,-38,-82,3
252,124,16216,-45,-17,-92,2
264,88,16140,3,-9,-104,3
220,164,16184,-15,16,-82,2
256,244,16224,-32,4,-76,3
224,140,16260,-27,19,-86,2
164,104,16160,-40,23,-98,3
240,184,16284,-33,33,-108,3
196,172,16048,-45,38,-109,2
236,96,16108,-25,-20,-80,3
264,64,15972,-27,0,-101,3
256,140,15748,-41,40,-109,2
232,-56,15920,-17,43,-101,3
100,0,16144,-1,8,-94,2
76,136,16056,-9,22,-101,3
324,72,15796,-5,-2,-107,2
136,36,16192,-4,0,-84,2
208,72,16088,-21,-46,-99,3
208,148,16040,-7,-42,-89,3
340,-8,16128,-40,-20,-102,2
312,-96,16136,-1,-3,-115,3
248,-68,16180,-1,-1,-82,2
396,56,16336,-25,-4,-77,3
184,104,16176,-42,24,-85,3
140,-32,16072,-24,37,-96,2
140,-4,16140,1,28,-94,2
124,0,16000,-59,18,-85,3
160,96,16200,-33,37,-108,2
156,52,16032,-59,33,-77,3
216,-36,16172,-33,62,-89,3
212,112,16172,-30,-1,-98,2
116,92,16044,-38,29,-84,3
112,60,15896,-8,-4,-97,2
184,0,16036,-50,12,-90,2
156,88,16008,-20,25,-93,3
192,148,16072,-4,-9,-91,3
240,44,15920,-22,-6,-104,2
148,36,16056,-18,-2,-79,3
136,12,16080,-17,-14,-83,2
188,136,16124,5,-41,-88,3
208,148,16200,10,-22,-97,2
264,76,16080,10,-23,-105,3
212,84,16100,-7,-9,-88,2
252,-40,16252,-17,-24,-100,3
268,148,16256,-34,1,-57,3
280,64,16056,-56,22,-120,2
276,116,16092,-34,13,-99,3
380,36,16056,-17,45,-76,2
140,196,16084,-6,-12,-91,3
248,104,16292,-53,6,-119,2
276,152,16168,-44,-8,-93,3
188,48,16020,-32,24,-89,3
260,104,16188,-22,3,-93,2
284,104,16176,-1,-5,-92,3
332,144,16092,-21,-9,-83,2
232,116,15896,-17,20,-103,3
232,24,16028,-6,23,-99,2
336,68,16204,12,4,-92,3
268,132,16008,-11,13,-105,2
252,-4,16012,-32,23,-98,3
276,44,16104,3,-30,-79,2
316,48,16084,-20,-15,-78,3
180,120,16256,-19,-13,-91,2
380,124,16116,-34,-17,-100,3
236,92,16168,-13,-37,-79,3
260,20,16308,-19,-26,-101,2
368,140,16232,-8,-16,-84,3
276,188,16168,-40,32,-99,3
172,-24,16272,-27,4,-112,2
280,80,16112,-37,18,-102,3
228,28,16008,-22,34,-114,2
344,64,15980,-36,40,-101,3
176,24,15992,-22,23,-61,3
168,60,16064,-8,21,-105,2
92,100,16196,-28,3,-80,2
144,104,16076,-39,-4,-118,3
116,156,16024,-15,2,-82,3
96,8,15884,0,11,-88,2
148,76,16120,-16,2,-117,2
256,176,16176,-21,-18,-77,3
240,72,16016,-42,-11,-86,3
172,36,16020,-8,5,-90,2
232,36,16036,3,-2,-86,2
180,224,16192,-19,-33,-98,3
232,112,16148,-33,-34,-88,3
136,64,16220,-25,7,-80,2
180,128,16064,1,19,-81,2
220,120,16156,-28,26,-100,3
248,176,16092,-41,8,-91,3
288,80,16208,-35,9,-117,2
152,136,16012,-16,29,-96,3
160,76,16096,-43,6,-98,2
288,44,16084,-28,-45,-84,3
256,68,16068,-31,-19,-103,2
280,56,15944,-35,4,-101,3
252,12,16056,-29,-13,-87,3
252,92,16092,-14,-2,-70,2
360,56,16160,-47,-7,-107,3
228,44,15984,-17,1,-78,2
224,56,15900,6,-5,-99,2
284,24,16076,-31,-21,-90,3
212,84,16000,-10,-3,-94,2
196,-36,16048,-28,-13,-95,3
232,24,16044,-26,-12,-81,3
240,12,16172,-16,-21,-102,2
276,-76,16228,-20,-22,-95,3
324,-16,16108,-24,-26,-94,3
276,-24,16024,-17,23,-82,2
312,-44,16068,-37,19,-76,3
200,40,15924,-28,18,-96,2
284,84,16032,-40,26,-100,3
256,104,16076,-35,55,-101,3
264,-4,16128,-12,33,-89,2
172,-8,16152,-7,18,-101,3
192,112,16128,-41,-8,-93,2
192,-36,16052,-19,12,-105,3
268,24,15956,-41,-7,-99,3
188,8,15860,-7,-4,-77,2
188,-64,16180,-7,-22,-98,2
160,196,16228,4,-45,-85,3
372,156,16064,-27,17,-112,3
252,-152,15868,-13,11,-81,2
280,-20,16176,-23,-14,-102,3
184,140,16064,9,-5,-111,3
272,180,16168,-37,42,-104,2
212,4,16148,-12,-1,-84,3
168,-8,16428,4,-31,-84,2
252,324,16092,-22,0,-110,3
272,144,15900,-49,28,-119,2
180,-168,16084,-28,-7,-106,3
144,-68,16396,14,-38,-91,3
320,396,15980,-39,13,-92,2
152,84,15792,-68,57,-115,3
188,-192,16192,-7,25,-76,2
152,-32,16308,26,-17,-81,3
328,252,16276,-39,-6,-90,3
224,68,16036,-58,28,-107,2
156,-32,16176,-17,25,-92,3
128,40,16096,6,-27,-83,2
300,164,16168,-29,-5,-87,3
320,140,15972,-62,7,-79,2
260,-40,15976,-2,2,-99,3
260,-12,16052,-37,-3,-106,2
304,48,16024,-27,-8,-88,3
280,96,16056,-22,-15,-94,3
296,136,16016,-35,-7,-99,2
152,-16,16080,-8,0,-84,3
180,12,16124,-15,-10,-93,2
336,36,16072,-33,-27,-100,3
312,196,16048,-50,10,-91,2
296,4,15976,-41,16,-106,3
236,-140,15960,-7,19,-91,3
240,84,16024,-23,12,-107,2
244,144,16052,-42,39,-112,3
268,20,15888,-12,23,-118,2
232,16,16008,-16,-13,-89,3
168,56,16228,-5,-4,-77,2
340,128,16008,-20,-29,-95,3
224,60,16184,-29,-26,-85,3
208,16,16296,-30,-30,-92,2
268,156,16132,-27,-47,-92,3
280,100,16344,-22,-18,-109,3
180,200,16152,-35,-12,-93,2
208,152,16180,-20,42,-67,3
172,56,16068,-21,31,-94,2
204,104,16128,-10,24,-98,3
72,0,16052,-37,32,-91,2
236,-48,16120,-53,56,-94,3
248,120,15936,-62,23,-103,3
140,136,16052,-22,24,-81,2
220,116,15960,-25,9,-109,3
216,84,16024,-18,-15,-71,2
144,80,15980,3,31,-91,3
124,-12,16116,-8,-24,-85,2
256,116,16064,-33,-12,-75,3
156,196,15920,-17,-11,-104,3
232,56,16132,-19,-15,-79,2
168,36,16140,-19,-33,-85,3
144,104,16344,1,-65,-94,3
208,144,16264,-42,-11,-97,2
252,60,16172,-17,-56,-62,3
244,52,16152,-12,-31,-78,2
392,-40,16428,-43,-29,-73,3
348,-8,16188,-44,19,-109,3
284,56,16100,-43,37,-105,2
260,-72,16088,-25,36,-94,3
324,0,16148,-42,27,-92,2
224,52,16196,-36,42,-121,3
228,-64,15988,-42,59,-83,2
252,-32,15884,-3,38,-93,3
224,-20,15968,-26,8,-93,2
124,76,16008,-37,3,-97,3
140,64,15956,-25,-21,-104,3
200,8,16040,-12,-38,-122,2
276,28,15960,22,0,-96,2
152,36,16244,-6,-26,-67,3
268,144,16064,-3,-37,-92,3
272,196,15984,-29,-8,-103,2
248,124,16308,3,20,-90,3
260,156,16264,23,14,-118,2
324,220,16240,-9,2,-86,3
216,104,16228,-6,32,-101,2
168,172,16204,-19,19,-98,3
200,208,16200,-13,6,-77,2
316,272,16180,-38,23,-105,3
144,192,16196,-36,10,-111,3
180,200,16072,-27,30,-104,2
224,192,16000,-17,26,-88,3
200,184,16132,-52,14,-104,3
216,236,16132,-33,20,-93,2
104,136,15976,-35,44,-59,3
192,12,15808,-2,2,-82,2
276,84,15980,1,-5,-111,3
260,204,15920,-26,-24,-87,2
220,32,15820,-39,-21,-83,3
236,36,16032,-22,-47,-80,2
224,24,16144,-4,-57,-101,3
276,148,16116,-24,-62,-73,3
296,84,16196,-13,-33,-92,2
312,24,16216,-20,-38,-90,3
312,-56,16284,-25,-5,-83,2
236,32,16300,-19,-21,-60,3
288,68,16256,-34,8,-95,3
372,56,16156,-24,31,-122,2
388,20,16020,-10,24,-85,3
312,-156,16280,-18,39,-89,2
328,92,16164,-27,27,-112,3
264,-20,16056,-47,53,-117,3
168,-100,16204,-36,53,-88,2
276,-8,16108,-48,5,-92,3
292,76,16092,-29,13,-96,2
224,-8,16000,-14,22,-93,3
300,40,16148,-26,23,-106,2
92,4,15980,7,9,-103,2
144,32,16136,-6,-1,-96,3
140,160,16108,-7,15,-94,2
180,156,16008,-18,30,-99,3
212,124,15940,14,-20,-98,3
216,108,16248,9,-8,-93,2
228,236,16244,-8,-30,-107,3
172,176,16196,-21,-35,-84,2
272,172,16200,-14,-41,-101,3
312,212,16252,-20,-27,-98,3
156,248,16284,-25,-34,-92,2
224,252,16236,-14,-1,-97,3
184,116,16080,-32,36,-91,3
208,100,16064,-22,30,-90,2
128,256,16172,-24,18,-77,3
228,196,16232,-61,38,-115,2
224,172,16152,-34,12,-93,3
