0,kd: 14.00, angle_mean: -2.0122, angle_summ: -10.0608, angle_diff: 16.9470, power: 208.83
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: 24.2782, angle_summ: 121.3908, angle_diff: 11.7858, power: 508.05
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: 33.5531, angle_summ: 167.7657, angle_diff: 2.4018, power: 507.73
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: 35.9136, angle_summ: 179.5680, angle_diff: 3.5731, power: 557.48
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: 36.4000, angle_summ: 181.9998, angle_diff: -1.9646, power: 486.83
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: 29.5257, angle_summ: 147.6285, angle_diff: -9.2367, power: 287.89
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: 24.7625, angle_summ: 123.8126, angle_diff: -5.7619, power: 269.23
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: 15.5630, angle_summ: 77.8150, angle_diff: -12.0482, power: 51.23
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: 12.2098, angle_summ: 61.0490, angle_diff: -1.2263, power: 155.36
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: 2.7491, angle_summ: 13.7454, angle_diff: -5.1977, power: -33.92
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: -2.3184, angle_summ: -11.5920, angle_diff: -9.6171, power: -167.40
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: -11.0528, angle_summ: -55.2640, angle_diff: -5.1805, power: -228.70
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: -13.0470, angle_summ: -65.2351, angle_diff: -10.3495, power: -329.25
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: -27.4529, angle_summ: -137.2643, angle_diff: -7.4077, power: -491.62
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: -31.4475, angle_summ: -157.2377, angle_diff: -3.8567, power: -498.35
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: -33.0820, angle_summ: -165.4101, angle_diff: -0.7422, power: -477.84
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: -27.6477, angle_summ: -138.2384, angle_diff: 4.1052, power: -333.19
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: -31.9408, angle_summ: -159.7039, angle_diff: 2.2914, power: -419.24
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: -17.5451, angle_summ: -87.7255, angle_diff: 15.5802, power: -29.79
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: -9.3974, angle_summ: -46.9870, angle_diff: 8.3711, power: -15.59
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: -1.9531, angle_summ: -9.7654, angle_diff: 1.7703, power: -2.81
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: -1.7544, angle_summ: -8.7719, angle_diff: 9.7199, power: 111.29
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: 8.9548, angle_summ: 44.7740, angle_diff: -2.3167, power: 94.10
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: 9.2465, angle_summ: 46.2327, angle_diff: 5.7603, power: 211.30
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: 14.2330, angle_summ: 71.1647, angle_diff: 5.2987, power: 275.29
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: 19.8795, angle_summ: 99.3973, angle_diff: 8.5801, power: 401.02
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: 19.6642, angle_summ: 98.3210, angle_diff: -3.9356, power: 222.76
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: 20.1716, angle_summ: 100.8582, angle_diff: -2.0470, power: 256.37
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: 16.2518, angle_summ: 81.2592, angle_diff: -5.3725, power: 154.42
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: 11.1202, angle_summ: 55.6010, angle_diff: -8.1740, power: 42.69
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: -2.0231, angle_summ: -10.1156, angle_diff: -7.5800, power: -134.71
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: -5.4994, angle_summ: -27.4968, angle_diff: -8.9152, power: -202.52
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: -18.9417, angle_summ: -94.7086, angle_diff: -13.9503, power: -462.95
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: -22.7017, angle_summ: -113.5085, angle_diff: -3.6579, power: -371.99
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: -27.2035, angle_summ: -136.0173, angle_diff: 2.6280, power: -347.59
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: -30.6672, angle_summ: -153.3361, angle_diff: -7.5644, power: -539.23
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: -29.4918, angle_summ: -147.4592, angle_diff: 9.3569, power: -285.72
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: -21.5283, angle_summ: -107.6415, angle_diff: 0.7041, power: -294.34
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: -26.2159, angle_summ: -131.0793, angle_diff: -3.8902, power: -424.89
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: -23.1686, angle_summ: -115.8431, angle_diff: 10.7667, power: -176.64
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: -20.8137, angle_summ: -104.0684, angle_diff: -6.0899, power: -379.36
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: -21.6781, angle_summ: -108.3905, angle_diff: -1.6780, power: -329.80
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: -16.8464, angle_summ: -84.2318, angle_diff: 12.6033, power: -61.59
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: -9.9765, angle_summ: -49.8823, angle_diff: 0.8882, power: -128.53
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: -0.1180, angle_summ: -0.5898, angle_diff: 20.1462, power: 280.38
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: 16.3905, angle_summ: 81.9523, angle_diff: 15.6261, power: 450.36
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: 30.2387, angle_summ: 151.1936, angle_diff: 9.5927, power: 561.57
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: 29.8265, angle_summ: 149.1323, angle_diff: 3.5006, power: 470.46
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: 33.4809, angle_summ: 167.4046, angle_diff: -6.8669, power: 376.95
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: 30.1062, angle_summ: 150.5309, angle_diff: -4.7078, power: 359.49
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: 23.9928, angle_summ: 119.9640, angle_diff: -9.3259, power: 208.46
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: 17.5776, angle_summ: 87.8881, angle_diff: 2.0890, power: 277.62
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: 22.8035, angle_summ: 114.0174, angle_diff: 5.4648, power: 398.72
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: 19.2504, angle_summ: 96.2518, angle_diff: -7.0899, power: 172.75
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: 16.1644, angle_summ: 80.8218, angle_diff: -0.9236, power: 215.47
