# angle, angle_rate, angle_acce, power
-1.013517379760742188e-03,-2.027034952334361151e-06,-9.738322347402572632e-02,-2.455306649208068848e-01
-6.702661514282226562e-03,-6.898952415212988853e-05,-3.721923828125000000e-01,-4.553832411766052246e-01
-1.112604141235351562e-02,-1.840826880652457476e-04,-6.699023246765136719e-01,-6.067110896110534668e-01
-1.128494739532470703e-02,-2.877280348911881447e-04,-4.637954235076904297e-01,-5.307887196540832520e-01
-2.674067020416259766e-02,-5.407482967711985111e-04,-6.241008043289184570e-01,-1.574211359024047852e+00
-3.421640396118164062e-02,-8.558749104849994183e-04,-5.553984642028808594e-01,-1.761187076568603516e+00
-5.121600627899169922e-02,-1.325241173617541790e-03,-5.630320906639099121e-01,-2.768261671066284180e+00
-6.040573120117187500e-02,-1.863036421127617359e-03,-4.485282599925994873e-01,-3.057492494583129883e+00
-6.470751762390136719e-02,-2.416959730908274651e-03,-8.912763595581054688e-01,-3.196963787078857422e+00
-7.456469535827636719e-02,-3.041758667677640915e-03,-2.882229089736938477e-01,-3.817959308624267578e+00
-6.736528873443603516e-02,-3.563323523849248886e-03,-1.889862716197967529e-01,-3.179793834686279297e+00
-7.161819934844970703e-02,-4.101339261978864670e-03,-4.256274998188018799e-01,-3.674140930175781250e+00
-7.641232013702392578e-02,-4.660395439714193344e-03,-4.714290201663970947e-01,-3.955022811889648438e+00
-8.565831184387207031e-02,-5.283958744257688522e-03,-5.935664176940917969e-01,-4.524715423583984375e+00
-8.064460754394531250e-02,-5.826206877827644348e-03,-5.172305703163146973e-01,-4.046461582183837891e+00
-7.587397098541259766e-02,-6.293635815382003784e-03,-7.157038450241088867e-01,-3.889556884765625000e+00
-7.213556766510009766e-02,-6.700309459120035172e-03,-9.828794002532958984e-01,-3.789238214492797852e+00
-8.057165145874023438e-02,-7.171010132879018784e-03,-1.036314487457275391e+00,-4.476981163024902344e+00
-9.068274497985839844e-02,-7.719287183135747910e-03,-1.043948054313659668e+00,-5.016117572784423828e+00
-9.926176071166992188e-02,-8.325939998030662537e-03,-8.149404525756835938e-01,-5.423306941986083984e+00
-1.105552911758422852e-01,-9.015196003019809723e-03,-7.386046051979064941e-01,-6.051927089691162109e+00
-1.178373098373413086e-01,-9.742808528244495392e-03,-9.141771197319030762e-01,-6.359953880310058594e+00
-1.311073303222656250e-01,-1.056674122810363770e-02,-8.531084060668945312e-01,-7.161461353302001953e+00
-1.343344449996948242e-01,-1.138174906373023987e-02,-4.790626168251037598e-01,-7.167279720306396484e+00
-1.359565258026123047e-01,-1.217222679406404495e-02,-7.844061255455017090e-01,-7.285001277923583984e+00
-1.569170951843261719e-01,-1.313278637826442719e-02,-7.920396924018859863e-01,-8.732777595520019531e+00
-1.640174388885498047e-01,-1.411632169038057327e-02,-7.615053653717041016e-01,-8.842972755432128906e+00
-1.752216815948486328e-01,-1.516272127628326416e-02,-5.019633769989013672e-01,-9.534936904907226562e+00
-1.893151998519897461e-01,-1.629773713648319244e-02,-2.424213886260986328e-01,-1.033678531646728516e+01
-1.908768415451049805e-01,-1.739161834120750427e-02,-3.416580259799957275e-01,-1.024324703216552734e+01
-1.818968057632446289e-01,-1.834100484848022461e-02,-1.508183330297470093e-01,-9.713624000549316406e+00
-1.813889741897583008e-01,-1.923784241080284119e-02,1.853418769314885139e-03,-9.969567298889160156e+00
-1.810631752014160156e-01,-2.008658275008201599e-02,-2.958565056324005127e-01,-1.004661369323730469e+01
-1.850600242614746094e-01,-2.093285508453845978e-02,-3.492916226387023926e-01,-1.040492248535156250e+01
-1.781893968582153320e-01,-2.166810631752014160e-02,-5.859328508377075195e-01,-9.939116477966308594e+00
-1.708458662033081055e-01,-2.229315973818302155e-02,-7.844061255455017090e-01,-9.669267654418945312e+00
-1.797293424606323242e-01,-2.297579497098922729e-02,-7.920396924018859863e-01,-1.048752212524414062e+01
-1.935285329818725586e-01,-2.376228943467140198e-02,-7.767725586891174316e-01,-1.128497409820556641e+01
-1.986539363861083984e-01,-2.456071600317955017e-02,-5.859328508377075195e-01,-1.140285110473632812e+01
-2.029500007629394531e-01,-2.536217868328094482e-02,-8.531084060668945312e-01,-1.165665245056152344e+01
-2.133647203445434570e-01,-2.622771635651588440e-02,-8.683755993843078613e-01,-1.233939552307128906e+01
-2.173250913619995117e-01,-2.708958089351654053e-02,-5.706656575202941895e-01,-1.246114444732666016e+01
-2.222008705139160156e-01,-2.795710973441600800e-02,-5.553984642028808594e-01,-1.278561401367187500e+01
-2.294225692749023438e-01,-2.885347977280616760e-02,-5.019633769989013672e-01,-1.324790859222412109e+01
-2.302678823471069336e-01,-2.971348538994789124e-02,-2.271542102098464966e-01,-1.323380470275878906e+01
-2.289254665374755859e-01,-3.051706403493881226e-02,-3.492916226387023926e-01,-1.320935058593750000e+01
-2.192962169647216797e-01,-3.118417412042617798e-02,-4.866962134838104248e-01,-1.267151737213134766e+01
-2.226601839065551758e-01,-3.185156732797622681e-02,-5.095969438552856445e-01,-1.317381095886230469e+01
-2.211058139801025391e-01,-3.247004747390747070e-02,-5.401313304901123047e-01,-1.306100749969482422e+01
-2.196624279022216797e-01,-3.304316848516464233e-02,-4.790626168251037598e-01,-1.305882167816162109e+01
-2.183459997177124023e-01,-3.357446938753128052e-02,-4.866962134838104248e-01,-1.305827713012695312e+01
-2.232524156570434570e-01,-3.412827104330062866e-02,-7.080702185630798340e-01,-1.346828269958496094e+01
-2.428539991378784180e-01,-3.485039994120597839e-02,-9.141771197319030762e-01,-1.472964859008789062e+01
-2.475777864456176758e-01,-3.558365628123283386e-02,-8.225740790367126465e-01,-1.468692398071289062e+01
-2.561620473861694336e-01,-3.636609390377998352e-02,-7.157038450241088867e-01,-1.523081684112548828e+01
-2.639108896255493164e-01,-3.718689456582069397e-02,-6.851694583892822266e-01,-1.563874435424804688e+01
-2.653481960296630859e-01,-3.798103332519531250e-02,-2.805893421173095703e-01,-1.564538669586181641e+01
-2.626154422760009766e-01,-3.870813548564910889e-02,-5.158169567584991455e-02,-1.550823020935058594e+01
-2.568171024322509766e-01,-3.934089839458465576e-02,1.316244155168533325e-01,-1.525040817260742188e+01
-2.645660638809204102e-01,-4.001951217651367188e-02,-1.202839836478233337e-01,-1.595939731597900391e+01
-2.606544494628906250e-01,-4.062508046627044678e-02,-1.279175728559494019e-01,-1.559331703186035156e+01
-2.498974800109863281e-01,-4.109280183911323547e-02,-5.477648973464965820e-01,-1.501685523986816406e+01
-2.454550266265869141e-01,-4.149270802736282349e-02,-5.019633769989013672e-01,-1.500073719024658203e+01
-2.451975345611572266e-01,-4.187005013227462769e-02,-3.950931429862976074e-01,-1.512010765075683594e+01
-2.489812374114990234e-01,-4.226635769009590149e-02,-3.569252192974090576e-01,-1.541649246215820312e+01
-2.494771480560302734e-01,-4.264780879020690918e-02,-2.347878068685531616e-01,-1.540548419952392578e+01
-2.526091337203979492e-01,-4.304150864481925964e-02,-4.866962134838104248e-01,-1.564201736450195312e+01
-2.437585592269897461e-01,-4.332702234387397766e-02,-3.950931429862976074e-01,-1.501809692382812500e+01
-2.313096523284912109e-01,-4.347376897931098938e-02,-3.416580259799957275e-01,-1.440523242950439453e+01
-2.391383647918701172e-01,-4.369146376848220825e-02,-4.714290201663970947e-01,-1.521799564361572266e+01
-2.402453422546386719e-01,-4.390934482216835022e-02,-6.241008043289184570e-01,-1.514171218872070312e+01
-2.555452585220336914e-01,-4.426932707428932190e-02,-5.935664176940917969e-01,-1.616505050659179688e+01
-2.514703273773193359e-01,-4.457056522369384766e-02,-6.622686982154846191e-01,-1.559109401702880859e+01
-2.557110786437988281e-01,-4.489914700388908386e-02,-3.416580259799957275e-01,-1.599448490142822266e+01
-2.654117345809936523e-01,-4.530830681324005127e-02,-4.332610964775085449e-01,-1.658427047729492188e+01
-2.660415172576904297e-01,-4.570330679416656494e-02,-3.569252192974090576e-01,-1.645362281799316406e+01
-2.723259925842285156e-01,-4.614140093326568604e-02,-4.256274998188018799e-01,-1.690001296997070312e+01
-2.707540988922119141e-01,-4.654186964035034180e-02,-3.874595463275909424e-01,-1.669948959350585938e+01
-2.705368995666503906e-01,-4.692014679312705994e-02,-3.187572658061981201e-01,-1.675860977172851562e+01
-2.770383358001708984e-01,-4.734452068805694580e-02,-3.798259794712066650e-01,-1.723650932312011719e+01
-2.825150489807128906e-01,-4.780244827270507812e-02,-8.149404525756835938e-01,-1.750270462036132812e+01
-2.800616025924682617e-01,-4.821294173598289490e-02,-4.103603363037109375e-01,-1.726272010803222656e+01
-2.753473520278930664e-01,-4.855576902627944946e-02,-1.584519296884536743e-01,-1.704050636291503906e+01
-2.692748308181762695e-01,-4.882072657346725464e-02,-1.126503944396972656e-01,-1.677018737792968750e+01
