# angle, angle_rate, angle_acce, power
-5.523928403854370117e-01,-4.051939249038696289e-01,2.265070724487304688e+01,-6.055979537963867188e+01
-4.466297328472137451e-01,-3.894005119800567627e-01,1.816979217529296875e+01,-5.564724349975585938e+01
-3.656699061393737793e-01,-3.735871911048889160e-01,1.294841861724853516e+01,-5.098510360717773438e+01
-3.236222267150878906e-01,-3.581440150737762451e-01,7.658341884613037109e+00,-4.832822418212890625e+01
-2.912851572036743164e-01,-3.431496620178222656e-01,5.589639663696289062e+00,-4.561902999877929688e+01
-2.739606797695159912e-01,-3.287318050861358643e-01,3.032387733459472656e+00,-4.372309494018554688e+01
-3.402590751647949219e-01,-3.156977891921997070e-01,-4.143184661865234375e+00,-4.688098907470703125e+01
-4.417172968387603760e-01,-3.043300807476043701e-01,-1.035692501068115234e+01,-5.088147735595703125e+01
-5.154504776000976562e-01,-2.942680716514587402e-01,-1.107448291778564453e+01,-5.265741729736328125e+01
-5.687011480331420898e-01,-2.852416634559631348e-01,-7.822574138641357422e+00,-5.376074600219726562e+01
-6.290740966796875000e-01,-2.772703170776367188e-01,-7.540131092071533203e+00,-5.577622604370117188e+01
-7.209601402282714844e-01,-2.706164121627807617e-01,-1.026532173156738281e+01,-5.974729919433593750e+01
-8.460209369659423828e-01,-2.655458152294158936e-01,-1.283784103393554688e+01,-6.536509704589843750e+01
-9.651056528091430664e-01,-2.619195580482482910e-01,-1.476913928985595703e+01,-7.015698242187500000e+01
-1.125682115554809570e+00,-2.600803971290588379e-01,-1.726532363891601562e+01,-7.780440521240234375e+01
-1.296878695487976074e+00,-2.600451707839965820e-01,-1.911265182495117188e+01,-8.554135894775390625e+01
-1.442847847938537598e+00,-2.614713907241821289e-01,-1.858593368530273438e+01,-9.166438293457031250e+01
-1.605046391487121582e+00,-2.644482851028442383e-01,-1.842562866210937500e+01,-9.939799499511718750e+01
-1.791079163551330566e+00,-2.691366672515869141e-01,-2.088364410400390625e+01,-1.084855499267578125e+02
-1.987567186355590820e+00,-2.755555212497711182e-01,-2.279967498779296875e+01,-1.179622344970703125e+02
-2.184835195541381836e+00,-2.836260795593261719e-01,-2.256303215026855469e+01,-1.274601821899414062e+02
-2.365737915039062500e+00,-2.931021451950073242e-01,-2.137219238281250000e+01,-1.360652923583984375e+02
-2.504357814788818359e+00,-3.034906089305877686e-01,-1.778440666198730469e+01,-1.424291687011718750e+02
-2.562209129333496094e+00,-3.139381706714630127e-01,-1.073860454559326172e+01,-1.445461120605468750e+02
-2.565412521362304688e+00,-3.238953649997711182e-01,-4.135550975799560547e+00,-1.446742858886718750e+02
-2.625895261764526367e+00,-3.339595198631286621e-01,-6.639368057250976562e+00,-1.493479614257812500e+02
-2.684345483779907227e+00,-3.441050350666046143e-01,-9.379825592041015625e+00,-1.528752441406250000e+02
-2.602342367172241211e+00,-3.529231846332550049e-01,1.826280951499938965e+00,-1.475948944091796875e+02
-2.455924034118652344e+00,-3.598362505435943604e-01,1.142170047760009766e+01,-1.406535491943359375e+02
-2.358295440673828125e+00,-3.654274046421051025e-01,1.022322750091552734e+01,-1.377673492431640625e+02
-2.247736454010009766e+00,-3.696334064006805420e-01,8.627807617187500000e+00,-1.330684356689453125e+02
-2.012485504150390625e+00,-3.712765872478485107e-01,1.771940994262695312e+01,-1.206153793334960938e+02
-1.710146069526672363e+00,-3.698142170906066895e-01,2.877284431457519531e+01,-1.059358596801757812e+02
-1.459792733192443848e+00,-3.659214377403259277e-01,2.628429603576660156e+01,-9.545008087158203125e+01
-1.257231354713439941e+00,-3.601976633071899414e-01,2.180337905883789062e+01,-8.681867980957031250e+01
-1.119339466094970703e+00,-3.533811867237091064e-01,1.636063194274902344e+01,-8.123591613769531250e+01
-9.236897230148315430e-01,-3.449490368366241455e-01,1.664307403564453125e+01,-7.075143432617187500e+01
-7.233464717864990234e-01,-3.349350392818450928e-01,1.962017250061035156e+01,-6.085871124267578125e+01
-6.291292905807495117e-01,-3.244795501232147217e-01,1.198658657073974609e+01,-5.759245300292968750e+01
-5.873650312423706055e-01,-3.141292333602905273e-01,6.734677791595458984e+00,-5.568614196777343750e+01
-5.854994058609008789e-01,-3.042777478694915771e-01,1.604906797409057617e+00,-5.536249542236328125e+01
-6.093398332595825195e-01,-2.951572537422180176e-01,-3.402726650238037109e+00,-5.598877716064453125e+01
-6.112614870071411133e-01,-2.865120172500610352e-01,-2.120284080505371094e+00,-5.483976745605468750e+01
-6.429535150527954102e-01,-2.786159515380859375e-01,-2.356925249099731445e+00,-5.600427246093750000e+01
-7.531414031982421875e-01,-2.722165584564208984e-01,-8.570665359497070312e+00,-6.165053939819335938e+01
-9.043341875076293945e-01,-2.676490843296051025e-01,-1.395234489440917969e+01,-6.861021423339843750e+01
-1.042438864707946777e+00,-2.646909952163696289e-01,-1.265463542938232422e+01,-7.417816162109375000e+01
-1.210333108901977539e+00,-2.635597884654998779e-01,-1.370043659210205078e+01,-8.200704956054687500e+01
-1.382707238197326660e+00,-2.642088532447814941e-01,-1.550196361541748047e+01,-8.975223541259765625e+01
-1.495761871337890625e+00,-2.659560143947601318e-01,-1.092944431304931641e+01,-9.384296417236328125e+01
-1.578586101531982422e+00,-2.684440612792968750e-01,-5.845474720001220703e+00,-9.719470977783203125e+01
