236,-17036,-157,287,119
-356,260,-17280,-159,297,92
-268,164,-17080,-166,286,108
-356,184,-17232,-158,247,123
-364,228,-17048,-165,243,151
-396,176,-17304,-182,216,131
-296,152,-16968,-167,223,116
-392,216,-17032,-146,212,132
-424,304,-17248,-160,241,116
-208,192,-17320,-185,276,124
-360,148,-17192,-153,271,139
-376,244,-17056,-189,302,110
-364,220,-17304,-170,268,109
-336,184,-17180,-175,316,123
-380,312,-17196,-163,260,126
-328,380,-17140,-149,243,131
-432,200,-17260,-167,246,100
-316,272,-17408,-181,252,123
-260,152,-17120,-149,211,125
-380,324,-17116,-181,243,119
-344,280,-17288,-154,281,137
-336,288,-17144,-190,278,95
-296,308,-17268,-174,253,95
-324,256,-17172,-166,266,128
-280,256,-17352,-158,296,137
-376,324,-17196,-174,256,111
-236,176,-17180,-179,238,127
-408,216,-17356,-151,202,147
-344,300,-17232,-147,236,90
-324,316,-17260,-176,222,147
-276,224,-17160,-193,196,140
-488,168,-17180,-146,240,112
-272,228,-17176,-169,245,129
-404,168,-17352,-171,272,118
-328,236,-17208,-175,275,110
-376,172,-17120,-182,277,110
-368,236,-17148,-147,252,136
-344,204,-17348,-167,242,114
-364,212,-17100,-180,233,83
-432,224,-17252,-166,203,109
-436,212,-17212,-146,231,112
-304,156,-17400,-145,234,136
-332,196,-17116,-165,256,150
-340,244,-17356,-160,274,128
-284,120,-17296,-157,314,107
-376,108,-17392,-132,328,121
-316,196,-17256,-189,311,127
-280,368,-17216,-148,251,102
-384,336,-17372,-165,237,110
-428,260,-17220,-164,219,107
-316,340,-17308,-178,217,134
-364,332,-17100,-161,182,119
-336,264,-17140,-185,173,129
-368,196,-17168,-170,258,107
-328,420,-17120,-178,245,114
-320,252,-17144,-158,241,120
-276,268,-17104,-169,287,96
-288,204,-17228,-161,316,119
-252,292,-17256,-164,295,126
-352,260,-17264,-153,264,100
-440,260,-17236,-150,241,136
-280,268,-17444,-140,263,105
-220,204,-17272,-162,250,136
-368,248,-17236,-140,238,98
-356,276,-17204,-149,270,134
-320,292,-17240,-187,268,120
-400,104,-17268,-167,262,138
-364,296,-17084,-180,263,108
-444,212,-17192,-198,213,122
-332,224,-17308,-188,254,116
-308,240,-17208,-194,255,115
-400,248,-17220,-180,211,128
-348,276,-17060,-154,190,129
-368,140,-17148,-140,250,113
-348,152,-17196,-130,220,114
-272,140,-17076,-163,234,138
-416,248,-17220,-140,260,113
-360,168,-17408,-166,318,106
-360,176,-17100,-175,311,112
-316,80,-17100,-184,309,129
-316,248,-17500,-153,300,132
-340,204,-17404,-184,289,128
-336,256,-17464,-177,241,109
-296,120,-17420,-157,225,133
-352,272,-17188,-156,232,105
-384,228,-17288,-164,226,103
-332,216,-17344,-200,223,155
-284,252,-17088,-163,218,115
-424,252,-17080,-169,227,113
-344,280,-17248,-176,279,111
-372,276,-17184,-184,268,116
-280,312,-17224,-156,245,133
-396,260,-17292,-147,239,87
